name,team,avg,hr,r,rbi,sb,slg,obp,ops,so,singles,doubles,triples,ab,bb,cs,gdp,h,hbp,ibb,pitches,pa,sf,sh
Ben Zobrist,- - -,0.276,13,76,56,3,0.450,0.359,0.809,56,77,36,3,467,62,4,8,129,1,3,2157,535,5,0
Yunel Escobar,Nationals,0.314,9,75,56,2,0.415,0.375,0.790,70,133,25,1,535,45,2,24,168,8,0,1991,591,2,1
Mitch Moreland,Rangers,0.278,23,51,85,1,0.482,0.330,0.812,112,81,27,0,471,32,0,9,131,7,2,2033,515,5,0
Jose Altuve,Astros,0.313,15,86,66,38,0.459,0.353,0.812,67,141,40,4,638,33,13,17,200,9,8,2227,689,6,3
Carlos Beltran,Yankees,0.276,19,57,67,0,0.471,0.337,0.808,85,78,34,1,478,45,0,12,132,2,2,2069,531,6,0
Adam Eaton,White Sox,0.287,14,98,56,18,0.431,0.361,0.792,131,124,28,9,610,58,8,5,175,14,2,2785,689,2,5
Jason Heyward,Cardinals,0.293,13,79,60,23,0.439,0.359,0.797,90,110,33,4,547,56,3,13,160,2,4,2348,610,3,0
Charlie Blackmon,Rockies,0.287,17,93,58,43,0.450,0.347,0.797,112,119,31,9,614,46,13,4,176,13,2,2727,682,4,5
Christian Yelich,Marlins,0.300,7,63,44,16,0.416,0.366,0.782,101,104,30,2,476,47,5,14,143,2,2,2125,525,0,0
Todd Frazier,Reds,0.255,35,82,89,13,0.498,0.309,0.806,137,79,43,1,619,44,8,19,158,7,3,2565,678,7,1
Francisco Cervelli,Pirates,0.295,7,56,43,1,0.401,0.370,0.771,94,104,17,5,451,46,1,12,133,8,1,2003,510,1,4
Russell Martin,Blue Jays,0.240,23,76,77,4,0.458,0.329,0.787,106,58,23,2,441,53,5,22,106,8,1,2112,507,5,0
